Paper Title,Agent Name,Dataset / Environment,Observation Space,Screenshot Only,Textual Only,HTML and AVH Only,Action Space,Direct UI Access Only,Coordinates prediction (Mouse / Touch),Action Grounding,Policy,History-based - What - Only,History-based - How - Only,Learning Strategy,Pre-Training Only,Environment adaption,Long-term Memory Only,Episodic Improvement,Few-shot Only,Explicit planning,Evaluation metrics,Application Domain
"Abukadah et al. ""Mapping Natural Language Intents to User Interfaces through Vision-Language Models""",,Screen2Word,Image (UI Screenshot),Parsed to textual representation,Translated (from screenshot),,Direct UI Access,[other],,No explicit grounding,Memoryless Policy,,,"Genearl Pre-training, Environment Adaption","Pre-Trained Backbone (e.g. ResNet on ImageNet), Pre-Trained Model (e.g. Struct2Text), Vision Foundation Model",Behavioral Cloning (BC),,,,[none],"Action F1, Action Acc",Android
"Bishop et al. ""Latent State Estimation Helps UI Agents to Reason""",-,"PixelHelp, AITW (Android In The Wild), [custom]",Textual,,Accessibility Tree,,Mouse / Touch / Keyboard,,"Generated x, y. (e.g. LLM)",Explicit grounding,History-based Policy,Actions only,Raw,"Genearl Pre-training, Episodic improvement",Text Foundation Model,[none],,instruction tuning with few-shot learning,fix human-labeled demonstrations,[none],"Premature stop, TSR, SSR",Android
"Bonatti et al. ""Windows Agent Arena: Evaluating Multi-Modal OS Agents at Scale""",Navi,WindowsAgentArena,Bi-Modal (textual only for grounding),Unclear,"Windows UI Automation tree, HTML, Translated (from screenshot)",,"Executable Code, Direct UI Access, Task-tailored actions","id, e.g. generate id=5",,Explicit grounding,"State-based Policy, History-based Policy",Observations and Actions,Raw,"Genearl Pre-training, Episodic improvement",Vision Foundation Model,[none],,instruction tuning only,[none],[none],TSR,"Desktop OS (MacOS / Windows / Linux), Web-Browsers, Office Applications"
"Branavan et al. """"Reinforcement Learning for Mapping Instructions to Actions""",,[custom],[other],Neither,,,Direct UI Access,"Direct element prediction (e.g. classification, score)",,No explicit grounding,Memoryless Policy,,,Environment Adaption,,Reinforcement Learning (RL),,[none],,[none],"Action Acc, Element accuracy",Desktop OS (MacOS / Windows / Linux)
"Chae et al. ""Web Agents with World Models: Learning and Leveraging Environment Dynamics in Web Navigation""",WMA (World-Model-Augmented) web agent,"Mind2Web, WebArena",Textual,,"HTML, Accessibility Tree",heuristic pruning,Direct UI Access,"id, e.g. generate id=5",,No explicit grounding,History-based Policy,Actions only,Raw,"Genearl Pre-training, Environment Adaption, Episodic improvement",Text Foundation Model,[other],"Learn environment model, e.g. environment transaction o_t, a_t, o_t+1","[other], instruction tuning only",,"Yes, e.g. zero-shot CoT planning","Element accuracy, Action F1, SSR, TSR",Web-Browsers
"Cheng et al. ""Seeclick: Harnessing gui grounding for advanced visual gui agents""",SeeClick,"MiniWoB / MiniWoB++, Mind2Web, ScreenSpot, AITW (Android In The Wild)",Image (UI Screenshot),Reduce resolution simplification,,,Mouse / Touch / Keyboard,,"Generated x, y. (e.g. LLM)",No explicit grounding,History-based Policy,Actions only,Raw,"Genearl Pre-training, Environment Adaption",Vision Foundation Model,[other],,instruction tuning only,[none],[none],"TSR, SSR, Operation F1, Element accuracy, Action Acc","Web-Browsers, Android"
"Cho et al. ""CAAP: Context-Aware Action Planning Prompting to Solve Computer Tasks with Front-End UI Only""",-,MiniWoB / MiniWoB++,Image (UI Screenshot),Parsed to textual representation,Translated (from screenshot),,"Direct UI Access, Mouse / Touch / Keyboard","Chosen from a list, e.g. of pre-selected elements","Generated x, y. (e.g. LLM)",No explicit grounding,History-based Policy,Actions only,Raw,"Genearl Pre-training, Episodic improvement",Text Foundation Model,[none],,instruction tuning with few-shot learning,semantic human-labeled demonstrations,"Yes, e.g. zero-shot CoT planning",TSR,Web-Browsers
"Deng et al. ""Mind2Web: Towards  a Generalist Agent for the Web""",MindAct,Mind2Web,Textual,,HTML,"heuristic pruning, filter to HTML snippets given instruction",Direct UI Access,"Chosen from a list, e.g. of pre-selected elements",None,No explicit grounding,History-based Policy,Actions only,Raw,"Genearl Pre-training, Episodic improvement, Environment Adaption",Text Foundation Model,Behavioral Cloning (BC),[other],instruction tuning with few-shot learning,fix human-labeled demonstrations,[none],"Element accuracy, Operation F1, SSR, TSR",Web-Browsers
"Deng et al. ""Mobile-Bench: An Evaluation Benchmark for LLM-based Mobile Agents""",,[custom],Textual,,Android View Hiearchy -> HTML,heuristic pruning,"Direct UI Access, Executable Code","id, e.g. generate id=5",,No explicit grounding,History-based Policy,Actions only,Raw,"Genearl Pre-training, Episodic improvement",Text Foundation Model,[none],,instruction tuning with few-shot learning,fix human-labeled demonstrations,"Yes, e.g. zero-shot CoT planning","Average steps, Checkpoints, TSR",Android
"Deng et al. ""On the Multi-turn Instruction Following for Conversational Web Agents""",Self-MAP,MT-Mind2Web,Textual,,HTML,"heuristic pruning, filter to HTML snippets given instruction",Direct UI Access,"Chosen from a list, e.g. of pre-selected elements",None,No explicit grounding,History-based Policy,Actions only,Raw,"Genearl Pre-training, Episodic improvement, Environment Adaption",Text Foundation Model,Long-Term Memory (LTM),"Learn to (kind of) act, e.g. part of trajectories stored with i such as only actions",instruction tuning with few-shot learning,self-automated-labeled demonstrations (LTM),[none],"Element accuracy, Operation F1, SSR, TSR",Web-Browsers
